User Name,Comment Text,Comment Time,Likes,Thumbnail URL
back office,"i thought that video will waste my time, but i end up with most valuable advice.
Thank you ahmad for this video.",2 months ago (edited),0,https://yt3.ggpht.com/ytc/AGIKgqM3pUwOp5DfiPuAFEMklMKXhGWJrtVSHBHubdQ4L88Jw7bwaclJmfsMP6Ycfk2_=s48-c-k-c0x00ffffff-no-rj
Ibrahim Abid,In Pakistan which university is best for software engineering.,2 years ago,0,https://yt3.ggpht.com/ytc/AGIKgqOPGeWFF4A3JqxGJuiXBc3XNo3c8qfbhzqwR53GlA=s48-c-k-c0x00ffffff-no-rj
Taha,"i study in 10class.   i don’t know why i watching his videos and subscribe his channel.   


Because i love Software Engineer field",2 years ago,1,https://yt3.ggpht.com/CN0sgTYIwhUymETKENiReqDQSlvI4yTLv23IP2pPZwXPnKq9EnIVifOpA3fhOvJ6PiMc7Xgc=s48-c-k-c0x00ffffff-no-rj
Umair Saleem,Sir will wordpress kill web development by coding in future?,2 years ago,1,https://yt3.ggpht.com/ytc/AGIKgqNfYnwZkEDWI-4RLal6SfVNoZUkaev8SIHn4g=s48-c-k-c0x00ffffff-no-rj
Danial Javeed,Very informative and useful,2 years ago,3,https://yt3.ggpht.com/ytc/AGIKgqPPCkrzPOxAxuyB_6GfByLb7UEvWXe_aKmxH5yLBmk=s48-c-k-c0x00ffffff-no-rj
Zain Abdullah,softeware engeenering from ucp worth it? and what is the salary for a fresher in this field???,1 year ago,0,https://yt3.ggpht.com/UYRzcc-QcbyNHiBi2weIKKIrWX4eQrjC1dCygb_9jMZ3AWDfSMhZMJTcAATcgA3Ghe9x358oiA=s48-c-k-c0x00ffffff-no-rj
nasir nasirsakhi,"AoA dear sir I'm nasir sakhi Frome rwp, by the way I'm a banker and I'm doing job in bank since 7 years. but now I have  exhaust of this field and now I want to switch on this job and I want to do software engineering course kindly suggest what should I do.
I'll be wait for your reply.",11 months ago,0,https://yt3.ggpht.com/ytc/AGIKgqPZMMPcVu3MZmmTcd1Ood2fvUetdApUWgN6WQiK=s48-c-k-c0x00ffffff-no-rj
Madhia naz,Asalam o alikum sir i am softwre engineer i have done software engineering from virtual university of pakistan in 2018 .i live in kashmir in our area no software house so i started teaching in private college but i personally not interested in teaching at all ..sir plz guide me how i start carer ..i am waiting for your reply sir,1 year ago,1,https://yt3.ggpht.com/ytc/AGIKgqNsiOxkOwMSMMWWVRKJ5_bFvGh0T6qXq7uflw=s48-c-k-c0x00ffffff-no-rj
Talha Javed,"Sounds Good  
 I need That mentorship.",1 year ago,0,https://yt3.ggpht.com/ytc/AGIKgqO0R9n0Z6XPsdzmDRHYVh5X_5ARrd9vfOLyMr4WCA=s48-c-k-c0x00ffffff-no-rj
Abdul Rehman,I am Your Permanent Viewer KEEP GOING GREAT WORK Sir,2 years ago,2,https://yt3.ggpht.com/ytc/AGIKgqN7QQQmXQJFF_B9B_27X1bO858mDt4Zg5xZS9l5zQ=s48-c-k-c0x00ffffff-no-rj
Syed Ali,"Ehmad Bhai kindly resume pa bhi Thora guide kardain, 

I mean to say that, what should we do in order to make our resume eye catching.",2 years ago,1,
Aman Rajpoot,"I have done fsc pre med but now I am switching my field so I have to start from basic level it'll not easy I know 
Anyone here who can help me ?",4 months ago,0,
Flutter Javascript,"nice.
keep making more videos.",2 years ago,0,
Valorant Shorts,Content is too good,1 year ago,0,
Daniyal Siddique,More videos please. I want more knowledge from you.,2 years ago,1,
SUFFIAN AHMED,"Sound Amazing!
اگر کوئی شخص سیکھنے کے مرحلے کو ساتھ لیے چلتا رہے فریلانسنگ کے ساتھ Slow and Steady
اس کے بارے میں آپکی آراء کیا ہونگی۔ جہاں تک میرا ایک تجزیہ ہے کہ آپ ایک مدت کے لیے کسی اچھے سافٹ ویئر ہاؤس کو جوائن کر لیتے ہیں جہاں آپ مناسب لوگوں کے ساتھ کنکشن بنانے میں کامیاب رہتے ہیں تو وہ زندگی بھر آپکے ساتھ چلیں گے چاہے وہ لوگ ہوں یا انکا experience۔۔ اور مرحلہ وار سیکھنے کا عمل بھی جاری رہے گا۔۔",1 year ago (edited),0,
NotMetal 0-1,What if you do freelancing as s side gig during your time in university?,2 years ago,0,
Hassan Amir Khan,Agreed.,2 years ago,1,
hamza Shah,Sir kindly information engineering and technology ka guide krain ..ma ne admission Lena h Bsiet k fees affordable h ..lkn mera interest programming m ha kia Bsiet better option h job market ki lihaz se,1 year ago,0,
christ followers,Sir im in 11th grade.i have a dream to become a software engineer.please guide me in this field please tell its scope  and income plz plz plz,1 year ago,1,
christ followers,Also please tell its subject,1 year ago,0,https://yt3.ggpht.com/11cXn9SWG_qTPJrKcAw2qYSu2lUjv5XgrbOX_bPZ8vZ5aA6yMctdiDhyRfGrvnXrt58AUyS_pQc=s48-c-k-c0x00ffffff-no-rj
Syed Muhammad Ali,"Sir video achi thi but app ki is video sy bhot sy people ka mind divert ho sakta hy . Simple solution is . Your video title ""freelancing vs software house"" that may be easy to understand for layman",2 years ago,0,https://yt3.ggpht.com/M5x3PNyF6KU1KFcvJ2K88mwY_cnS-0KhT7QKnp-mW3c5yWwry2ALJ90xo7PCBdzXYQMCMohcCg=s48-c-k-c0x00ffffff-no-rj
Tooba Rizwan,plz tell me about which is much better BS IT or BS SE  as i have not enough knowledge about this,2 years ago,0,https://yt3.ggpht.com/ytc/AGIKgqMHnJecxmw3Yh1HaEWwNZN4UhWr0ND6mkkZDsYJtkE=s48-c-k-c0x00ffffff-no-rj
Zain Khan,"Agr koi university PEC sa recognized na hon toh kia admision lena chai.?
Oar university ka pta kesy chalta hain ka yeh PEC sa recognized hain??",9 months ago,0,https://yt3.ggpht.com/ytc/AGIKgqPH5LRfYFWbrNGfoVt0lCa0WHh9qHvn6HXTbQ=s48-c-k-c0x00ffffff-no-rj
MAKKAH PAK MADINA PAK,"I agreed,",2 years ago,1,https://yt3.ggpht.com/ytc/AGIKgqMVelUvbuNL8MZbPA-68cK5AxMHHGrbWt4CNMh1=s48-c-k-c0x00ffffff-no-rj
Hamid Chughtai,Excellent,2 years ago,1,https://yt3.ggpht.com/ytc/AGIKgqMf1NDkm7yXl28VgCgKz2A42oKDefrZ-fCelQ=s48-c-k-c0x00ffffff-no-rj
Usama Saeed,without cs degree can we go in this industry,2 years ago,1,https://yt3.ggpht.com/ytc/AGIKgqP-Rqv4T7KE27NB4uzOXtUfLeFiwqpBdKeFUdO1MA=s48-c-k-c0x00ffffff-no-rj
Shahzad Ali,Sir can u guide me what should i choose  software or computer science bcz i am new i dont know much about computer. So mje lagta ha computer sae ha pher be sir kindle  aap guide karden. Thank u,1 year ago,0,https://yt3.ggpht.com/ow89cuxZqSF9cnJDrPBAclAm--3F6w3dvPBNYi7oe8roYvXAQmfHJ-dabVr-dfVTkKxb9ookAI4=s48-c-k-c0x00ffffff-no-rj
maher aitzaz,"PLZ SIR YAH BTAYE AP NA GRADUATION KIS  MA KI HAI OR INTER MA AP NA KIA PARHA HAI OR SOFTYWARE ENGINEER KA LIYA KTNA PERCENTAGE MARKS HINA CHAIYE
PLZ REPLY",1 year ago,1,https://yt3.ggpht.com/ytc/AGIKgqOZDWK-Dq2sA3cPVwD1aRryMH4HYSCVvx_3kNRMLF0F_flLCM4PMbeidCVvYAHn=s48-c-k-c0x00ffffff-no-rj
Arham Usmani,Sir please guide If I wants to go abroad through this degree from vu .After I will apply master degree in usa?,2 years ago,0,https://yt3.ggpht.com/ytc/AGIKgqP7rIRRx3SAtPPjvrZePq-Lk9pptmJ0ZGga3kbwrA=s48-c-k-c0x00ffffff-no-rj
Ubaid,Good,2 years ago,0,
Nimra Ghous,As a Software engineer can we work on artificial intelligence?,2 years ago,1,
MAKKAH PAK MADINA PAK,Sir create a vedio on who to get order on fiverr?,2 years ago,0,
Hammad Arif,how to find mentors in software engineering,2 years ago,2,
Syed Tasaduq Hussain Bukhari,Is software engineering a good field??,2 years ago,0,
faisalabad bot,Aslam.o.alikum,2 years ago,0,
Zulqarnain Awan,Great sir! Will you become my mentor.,1 year ago,1,
junid junid,aslam aliukom sir  ma janna catha how inter ma F C kary ya computer sincie g plez gudi me,2 years ago,0,
awais raza,sir how to find good mentors.,1 year ago,0,
ABDUL QADIR,Israel ki company h fiverr,1 year ago,0,https://yt3.ggpht.com/ytc/AGIKgqMvY7h8vAmhb4crEJSl1QYDL4EaNs5WIK_7HQ=s48-c-k-c0x00ffffff-no-rj
ahtisham jafir,Software engineer ki salary kitnii hoti ha sir,2 years ago,0,https://yt3.ggpht.com/RIHg4ztKNJE6p89UERTwXlOzfbzrUz2kxW9zv-xzdf8INfSo9Y5twFbo_QotiK9yJy-_iT3w_A=s48-c-k-c0x00ffffff-no-rj
Sana Saeed zaman,Sir mujha computers netwark ma kam karna mujha buth passand ha  plz gait me,2 years ago,0,https://yt3.ggpht.com/ytc/AGIKgqNwq1CQvsWsEIYDa03W6dKDRecFSssv5E35=s48-c-k-c0x00ffffff-no-rj
taha ali,"sir app ki awaz larkiun wali kiun hen 
mardo wali koi qolity nhi app mai",1 year ago,0,https://yt3.ggpht.com/QsthBKL636E7CA1O1uywuZL9bPsdQ47HDyLRUK5orTnXB-E0cREsyvOdZbtvumohg1G-O2p8bA=s48-c-k-c0x00ffffff-no-rj
faisalabad bot,Bhai Jan Mara sath bat kran apsy kch bat kran ha,2 years ago,0,https://yt3.ggpht.com/ytc/AGIKgqMCPRcsXb23Cba54MRqykw2IwmwTaGZE0mO9A=s48-c-k-c0x00ffffff-no-rj
Nadeem khan,disappointed :(,2 years ago,0,https://yt3.ggpht.com/ytc/AGIKgqOiz3IheP8FoUR2ZuEsy0RkKIBNsNRxIj_5MyVy4g=s48-c-k-c0x00ffffff-no-rj
